Race,Taille,Poids,Velocite,Intelligence,Affection,Agressivite,Fonction
BEAU,3,2,3,3,2,2,3
BASS,1,1,1,1,1,2,2
B.AL,3,2,3,3,2,2,3
BOXE,2,2,2,2,2,2,1
BULD,1,1,1,2,2,1,1
BULM,3,3,1,3,1,2,3
CANI,1,1,2,3,2,1,1
CHIH,1,1,1,1,2,1,1
COCK,2,1,1,2,2,2,1
COLL,3,2,3,2,2,1,1
DAL ,2,2,2,2,2,1,1
DOBE,3,2,3,3,1,2,3
DA.L,3,3,3,1,1,2,3
E.BR,2,2,2,3,2,1,2
E.FR,3,2,2,2,1,1,2
FX.H,3,2,3,1,1,2,2
FX.T,1,1,2,2,2,2,1
GBLG,3,2,2,1,1,2,2
LABR,2,2,2,2,2,1,2
LEVR,3,2,3,1,1,1,2
MAST,3,3,1,1,1,2,3
PEKI,1,1,1,1,2,1,1
POIN,3,2,3,3,1,1,2
ST-B,3,3,1,2,1,2,3
SETT,3,2,3,2,1,1,2
TECK,1,1,1,2,2,1,1
T.NE,3,3,1,2,1,1,3
