PAYS YEAR NATA CHOM APRI ASEC PIB FBCF INFL RECC MINF PROT NRJ
AL 1975 97 41 73 460 6870 211 60 409 197 58 394
AU 1975 123 17 125 409 4990 267 78 391 205 56 307
BE 1975 121 42 36 399 6350 220 94 407 146 62 426
CA 1975 157 69 61 293 6990 242 83 374 155 65 878
DA 1975 142 49 98 315 7010 199 99 450 104 66 350
ES 1975 188 47 219 385 2870 232 139 231 121 50 173
EU 1975 147 83 40 290 7090 163 70 307 161 73 791
FI 1975 142 22 149 361 5650 267 133 395 102 63 473
FR 1975 141 41 113 386 6360 234 96 406 132 68 318
IR 1975 216 80 245 298 2480 223 151 350 184 66 227
IT 1975 151 33 158 441 3080 212 138 347 207 50 228
JA 1975 172 19 127 358 4420 308 122 235 100 34 297
NO 1975 140 23 102 343 7060 354 90 502 105 57 477
PB 1975 130 43 66 348 5950 213 89 536 106 59 435
PO 1975 193 53 282 336 1550 136 169 230 379 39 88
RU 1975 125 34 27 409 4070 199 145 400 160 55 363
SU 1975 127 16 64 365 8460 207 85 522 83 66 600
