"";"Vitesse";"Distance_Reaction";"Distance_freinage";"Conducteur";"Nombre_passagers";"Heure_controle";"Exces_Vitesse"
"1";51,93;14,42;13,27;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"2";51,05;14,18;12,83;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"3";45,26;12,57;10,08;"Homme";4;"Entre 11h30 et 13h30";"Non"
"4";53,33;14,81;14;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"5";45,91;12,75;10,37;"Homme";4;"Entre 11h30 et 13h30";"Non"
"6";49,56;13,77;12,09;"Femme";2;"Entre 11h30 et 13h30";"Non"
"7";51,38;14,27;12,99;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"8";52,44;14,57;13,53;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"9";52,83;14,67;13,74;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"10";48,05;13,35;11,36;"Homme";2;"Entre 11h30 et 13h30";"Non"
"11";47,29;13,14;11,01;"Homme";4;"Entre 11h30 et 13h30";"Non"
"12";45,31;12,59;10,1;"Femme";4;"Entre 11h30 et 13h30";"Non"
"13";50,51;14,03;12,56;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"14";47,62;13,23;11,16;"Femme";4;"Entre 11h30 et 13h30";"Non"
"15";53,39;14,83;14,03;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"16";47,61;13,22;11,16;"Femme";4;"Entre 11h30 et 13h30";"Non"
"17";46,45;12,9;10,62;"Femme";4;"Entre 11h30 et 13h30";"Non"
"18";47,41;13,17;11,06;"Femme";4;"Entre 11h30 et 13h30";"Non"
"19";47,64;13,23;11,17;"Homme";4;"Entre 11h30 et 13h30";"Non"
"20";47,85;13,29;11,27;"Homme";4;"Entre 11h30 et 13h30";"Non"
"21";52,47;14,57;13,55;"Femme";0;"Entre 9h00 et 9h30";"Oui"
"22";50,39;14;12,5;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"23";53,82;14,95;14,25;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"24";47,35;13,15;11,03;"Homme";4;"Entre 11h30 et 13h30";"Non"
"25";51,72;14,37;13,16;"Homme";0;"Entre 9h00 et 9h30";"Oui"
"26";49,86;13,85;12,23;"Femme";2;"Entre 11h30 et 13h30";"Non"
"27";45,88;12,74;10,36;"Homme";4;"Entre 11h30 et 13h30";"Non"
